"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
121.251,2021,6,5,15,7.25,12.438,5.5,73.938,16.375,5.75,0.0602881052985588,0.102877292039134,0.045922053487455,0.607741398543639,0.135196804027886,0.047974346603327
113.001,2021,6,5,16,6.5,9.375,3.813,74.563,13.75,5,0.0580269160187701,0.0833513805351444,0.0343584512690317,0.657560491106765,0.121888609147018,0.0448141519232704
137.001,2021,6,6,0,6.25,11.438,8.563,80.875,23.875,6,0.0461805057113668,0.0838735260650977,0.0629854317094738,0.588362780942123,0.174233605891495,0.044364149680443
125.501,2021,6,6,3,3,9.625,3.188,92.188,17.5,0,0.0245651293811933,0.0771091625259786,0.026056190246283,0.731930748719625,0.139567164188648,0.000771604938271605
9.5,2021,6,6,4,2.125,6,1.375,0,0,0,0.223420240415854,0.629426575698505,0.144838369070825,0.000771604938271605,0.000771604938271605,0.000771604938271605
129.5,2021,6,6,9,6.625,11.5,4.75,82.75,17.875,6,0.0516930621097288,0.089163568330235,0.0372813289479956,0.636809428476095,0.138163461080128,0.0468891510558177
130.501,2021,6,6,12,5.875,21.688,3.875,75.063,18,6,0.0455819966281891,0.166192502805664,0.0303273952018342,0.573299678371511,0.138063017775466,0.0465354092173363
136.751,2021,6,6,14,8.875,25.188,5.625,54.875,35.938,6.25,0.065370123684292,0.184107660169231,0.0417143280871578,0.400190615212961,0.262353753298213,0.0462635195481451
121.25,2021,6,6,15,5.125,16.875,5.25,71.75,16.5,5.75,0.0428439607992873,0.139302532773323,0.0438701158202876,0.589784586992491,0.136224067710322,0.0479747359042892
121.001,2021,6,6,22,7.125,13.125,3.813,70.188,21.25,5.5,0.0593828055803232,0.108739606120998,0.0321378516818706,0.578147457663088,0.175576940186496,0.0460153387672237
128.751,2021,6,6,23,5.875,16.125,6.563,74.688,19.25,6.25,0.0461910651826652,0.125433527736714,0.0515099738887321,0.578182438424786,0.149592815100753,0.0490901796663499
142.501,2021,6,7,4,7.25,12.125,7.188,85.688,25.25,5,0.0514128999831147,0.0854648052718885,0.0509798295979036,0.599302817324825,0.177143011818587,0.0356966360036806
173.75,2021,6,7,7,2.375,8.375,4.875,136.125,16.75,5.25,0.0143773869793054,0.0487498889777067,0.0286992628119726,0.780597744027001,0.0967281730171418,0.0308475441868727
242.501,2021,6,7,9,77.125,14.563,16.25,93.688,25.875,15,0.317339123483823,0.0605469407253558,0.0674714062525694,0.385323665586513,0.106978211646423,0.0623406523053157
278.001,2021,6,7,10,132.125,20.313,24.938,48.375,36.25,16,0.473839364353472,0.0735014092675126,0.0900610186320939,0.173976167751595,0.130563137795801,0.0580589021995258
