Total_Value,Year,Month,Day,Hour,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
130.0,2021,5,29,12,7.875,11.25,4.375,75.25,25.25,6.0
117.751,2021,5,29,13,4.625,11.313,5.563,70.125,19.875,6.25
10.751,2021,5,29,14,4.625,0.563,5.563,0.0,0.0,0.0
120.501,2021,5,29,15,8.875,15.438,7.5,58.188,24.5,6.0
114.501,2021,5,29,16,10.375,12.5,3.813,56.563,25.25,6.0
8.501000000000001,2021,5,29,17,2.5,2.188,3.813,0.0,0.0,0.0
116.751,2021,5,29,18,3.375,11.313,8.125,62.563,25.625,5.75
118.0,2021,5,29,19,7.0,10.5,4.75,65.5,24.25,6.0
6.125,2021,5,29,20,0.875,0.5,4.75,0.0,0.0,0.0
125.75,2021,5,29,21,8.25,12.375,4.375,74.5,20.0,6.25
127.75,2021,5,29,22,3.75,11.125,3.5,84.0,19.625,5.75
3.938,2021,5,29,23,2.75,0.5,0.688,0.0,0.0,0.0
133.001,2021,5,30,0,6.375,14.438,7.563,77.75,20.875,6.0
131.25,2021,5,30,1,4.75,9.375,4.75,76.5,29.625,6.25
10.188,2021,5,30,2,4.375,1.063,4.75,0.0,0.0,0.0
121.0,2021,5,30,3,1.875,6.0,1.125,101.0,5.0,6.0
3.375,2021,5,30,4,1.875,0.5,1.0,0.0,0.0,0.0
122.751,2021,5,30,5,5.625,11.125,6.563,75.563,18.125,5.75
119.5,2021,5,30,6,5.25,11.5,4.875,74.5,17.875,5.5
123.751,2021,5,30,7,8.125,12.25,4.438,72.063,21.125,5.75
131.501,2021,5,30,8,7.75,13.5,7.688,69.563,27.0,6.0
118.751,2021,5,30,9,3.75,11.375,4.0,76.563,17.313,5.75
122.751,2021,5,30,10,5.0,13.313,4.375,77.5,16.313,6.25
134.0,2021,5,30,11,8.625,21.0,6.125,69.25,23.0,6.0
128.501,2021,5,30,12,5.0,20.438,5.375,67.188,24.5,6.0
125.25,2021,5,30,13,8.625,22.125,4.75,67.25,16.75,5.75
138.25,2021,5,30,14,4.0,24.875,6.0,71.25,25.875,6.25
117.001,2021,5,30,15,7.625,18.75,4.813,53.688,26.125,6.0
116.001,2021,5,30,16,5.125,14.813,4.313,70.5,15.25,6.0
131.251,2021,5,30,17,7.125,18.188,5.813,70.75,23.625,5.75
118.251,2021,5,30,18,6.375,20.5,5.188,57.813,22.125,6.25
116.0,2021,5,30,19,6.5,14.75,3.25,64.375,21.125,6.0
135.501,2021,5,30,20,5.75,22.75,7.063,68.313,25.625,6.0
124.251,2021,5,30,21,6.5,16.688,7.813,64.375,23.125,5.75
128.501,2021,5,30,22,6.25,11.875,4.188,80.438,20.25,5.5
141.751,2021,5,30,23,5.75,17.313,7.063,73.375,32.5,5.75
122.751,2021,5,31,0,4.75,13.25,4.563,75.563,18.375,6.25
121.25,2021,5,31,1,2.625,12.0,3.625,80.25,17.0,5.75
137.25,2021,5,31,2,5.0,13.0,8.0,85.875,19.125,6.25
129.0,2021,5,31,3,13.125,11.5,5.0,61.875,30.0,7.5
120.751,2021,5,31,4,4.0,9.188,3.938,82.625,15.75,5.25
127.501,2021,5,31,5,6.5,15.563,5.625,77.063,17.75,5.0
138.501,2021,5,31,6,7.0,12.938,6.0,77.938,28.625,6.0
157.001,2021,5,31,7,18.5,9.438,5.563,96.25,21.25,6.0
216.25,2021,5,31,8,16.0,13.375,10.875,151.375,18.375,6.25
225.50099999999998,2021,5,31,9,57.0,13.563,13.188,118.375,17.375,6.0
